,Price,Distance,Zipcode,#Bedroom,#Bathroom,#-Car Garage,Lot_size,Property_count,Suburb_indexed,Type_indexed,Region_name_indexed
Price,1.0,-0.20537390018289978,0.19383232287357413,0.3256405511784149,0.302298320163102,0.14947627008047873,0.10669856481091186,0.023537535062034376,-0.10437311995200203,-0.28118446341279363,-0.240627083984352
Distance,-0.20537390018289978,1.0,0.189623664772314,0.2016953871256306,0.09230011050758297,0.2265607948284415,0.2198533952569809,-0.07614796472007128,0.24343014402676055,-0.057288490665805124,0.2560501767569129
Zipcode,0.19383232287357413,0.189623664772314,1.0,0.061824762796456455,0.12119872818897251,0.05440065058407135,0.08964854084901647,0.08219672349409954,0.08105498504470804,0.0396575312407645,-0.3338083201781906
#Bedroom,0.3256405511784149,0.2016953871256306,0.061824762796456455,1.0,0.5270879401270446,0.36561045709142537,0.2675981787366065,-0.02862483042811808,0.06781931308008288,-0.31918607046960745,0.0826932622508918
#Bathroom,0.302298320163102,0.09230011050758297,0.12119872818897251,0.5270879401270446,1.0,0.30008401756786773,0.10683102416486903,-0.014276984638194476,0.057676670273115176,-0.04797984421118693,-0.024646374831530683
#-Car Garage,0.14947627008047873,0.2265607948284415,0.05440065058407135,0.36561045709142537,0.30008401756786773,1.0,0.2681616874913902,-0.014932155274799797,0.02817774689099106,-0.1626259977878433,0.05333286053998878
Lot_size,0.10669856481091186,0.2198533952569809,0.08964854084901647,0.2675981787366065,0.10683102416486903,0.2681616874913902,1.0,-0.01612018914433601,0.07785361612031777,-0.2029361354450947,0.06608579245684004
Property_count,0.023537535062034376,-0.07614796472007128,0.08219672349409954,-0.02862483042811808,-0.014276984638194476,-0.014932155274799797,-0.01612018914433601,1.0,-0.4713559453803611,0.01968703768338386,-0.15591783097434417
Suburb_indexed,-0.10437311995200203,0.24343014402676055,0.08105498504470804,0.06781931308008288,0.057676670273115176,0.02817774689099106,0.07785361612031777,-0.4713559453803611,1.0,-0.03748736187700143,0.2578016948922424
Type_indexed,-0.28118446341279363,-0.057288490665805124,0.0396575312407645,-0.31918607046960745,-0.04797984421118693,-0.1626259977878433,-0.2029361354450947,0.01968703768338386,-0.03748736187700143,1.0,-0.09776836504994699
Region_name_indexed,-0.240627083984352,0.2560501767569129,-0.3338083201781906,0.0826932622508918,-0.024646374831530683,0.05333286053998878,0.06608579245684004,-0.15591783097434417,0.2578016948922424,-0.09776836504994699,1.0
