,Price,Distance,Zipcode,#Bedroom,#Bathroom,#-Car Garage,Lot_size,Property_count,Suburb_indexed,Type_indexed,Region_name_indexed
Price,1.0,-0.2621722992278102,0.11390826432309874,0.40342876082726653,0.43530931761941094,0.18055221346969358,0.023217803481114647,-0.024928867486608677,-0.1614247931315884,-0.24144346825030255,-0.3119131290970153
Distance,-0.2621722992278102,1.0,0.4684040110285068,0.21801419754900472,0.09129441475015691,0.22542997953477958,0.010863517484166618,-0.022571891601118638,0.5262285699135378,-0.0763194462891932,0.5133560538556666
Zipcode,0.11390826432309874,0.4684040110285068,1.0,0.08313429020299151,0.12699672130329168,0.05500534163773831,0.02674545157993639,0.05750997136379752,0.2920544827302455,0.0015485517817932064,0.0025868845171778277
#Bedroom,0.40342876082726653,0.21801419754900472,0.08313429020299151,1.0,0.5756427808452766,0.35653610425276067,0.003047569671226907,-0.056086267962483255,0.10377905207084256,-0.2721676824554396,0.10316267143482853
#Bathroom,0.43530931761941094,0.09129441475015691,0.12699672130329168,0.5756427808452766,1.0,0.2864259061545687,0.028602007935486062,-0.04276198307012049,0.057172845315499765,-0.010913539571078277,-0.016329153681847945
#-Car Garage,0.18055221346969358,0.22542997953477958,0.05500534163773831,0.35653610425276067,0.2864259061545687,1.0,0.01570662814967953,-0.00498417680412548,0.052256459677410876,-0.1290026266572883,0.07590513444502484
Lot_size,0.023217803481114647,0.010863517484166618,0.02674545157993639,0.003047569671226907,0.028602007935486062,0.01570662814967953,1.0,-0.0027542295129331295,0.02782941249021854,-0.0036389772063613744,0.011538923629202462
Property_count,-0.024928867486608677,-0.022571891601118638,0.05750997136379752,-0.056086267962483255,-0.04276198307012049,-0.00498417680412548,-0.0027542295129331295,1.0,-0.44199392191286635,0.008417090309580337,-0.17646677794189736
Suburb_indexed,-0.1614247931315884,0.5262285699135378,0.2920544827302455,0.10377905207084256,0.057172845315499765,0.052256459677410876,0.02782941249021854,-0.44199392191286635,1.0,-0.06185671559767863,0.4404801424600427
Type_indexed,-0.24144346825030255,-0.0763194462891932,0.0015485517817932064,-0.2721676824554396,-0.010913539571078277,-0.1290026266572883,-0.0036389772063613744,0.008417090309580337,-0.06185671559767863,1.0,-0.09473800769530807
Region_name_indexed,-0.3119131290970153,0.5133560538556666,0.0025868845171778277,0.10316267143482853,-0.016329153681847945,0.07590513444502484,0.011538923629202462,-0.17646677794189736,0.4404801424600427,-0.09473800769530807,1.0
