,Price,Distance,Zipcode,#Bedroom,#Bathroom,#-Car Garage,Lot_size,Property_count,Suburb_indexed,Type_indexed,Region_name_indexed
Price,1.0,-0.30333093359049584,0.29069296833031627,0.41591946682956044,0.37785368019027116,0.1959141664251731,0.1533808228596739,0.03298074663839356,-0.15741635981263366,-0.3563698133326296,-0.3274583107046644
Distance,-0.30333093359049584,1.0,0.25556448902820567,0.2636644953178004,0.11714245094405393,0.2936313826541687,0.3149202780566825,-0.10556941229993999,0.35752015388036484,-0.07168346697798433,0.333471153115116
Zipcode,0.29069296833031627,0.25556448902820567,1.0,0.08125624462204492,0.15409659691342173,0.07041896236014862,0.1313456500520683,0.1288732870448235,0.12460707124744351,0.04911976777866708,-0.39230713219056573
#Bedroom,0.41591946682956044,0.2636644953178004,0.08125624462204492,1.0,0.5732513267552313,0.41757200057848454,0.3317128280201977,-0.03764874261721257,0.0887019901394095,-0.3548864666807784,0.09460793117284484
#Bathroom,0.37785368019027116,0.11714245094405393,0.15409659691342173,0.5732513267552313,1.0,0.32975409739394634,0.13434077701825126,-0.018121927876053563,0.07299324070693847,-0.05176296426231013,-0.02895701315772557
#-Car Garage,0.1959141664251731,0.2936313826541687,0.07041896236014862,0.41757200057848454,0.32975409739394634,1.0,0.3461988369179788,-0.01930778144922369,0.03708220685045236,-0.18084753236422105,0.06315456026566822
Lot_size,0.1533808228596739,0.3149202780566825,0.1313456500520683,0.3317128280201977,0.13434077701825126,0.3461988369179788,1.0,-0.024029843695797467,0.11812322275048404,-0.26230842925453474,0.0830199940919099
Property_count,0.03298074663839356,-0.10556941229993999,0.1288732870448235,-0.03764874261721257,-0.018121927876053563,-0.01930778144922369,-0.024029843695797467,1.0,-0.6071941236004996,0.024695328884641543,-0.21978782318707962
Suburb_indexed,-0.15741635981263366,0.35752015388036484,0.12460707124744351,0.0887019901394095,0.07299324070693847,0.03708220685045236,0.11812322275048404,-0.6071941236004996,1.0,-0.046716755946937985,0.3443654605198745
Type_indexed,-0.3563698133326296,-0.07168346697798433,0.04911976777866708,-0.3548864666807784,-0.05176296426231013,-0.18084753236422105,-0.26230842925453474,0.024695328884641543,-0.046716755946937985,1.0,-0.11008182069201135
Region_name_indexed,-0.3274583107046644,0.333471153115116,-0.39230713219056573,0.09460793117284484,-0.02895701315772557,0.06315456026566822,0.0830199940919099,-0.21978782318707962,0.3443654605198745,-0.11008182069201135,1.0
