,Price,Distance,Zipcode,#Bedroom,#Bathroom,#-Car Garage,Lot_size,Property_count,Suburb_indexed,Type_indexed,Region_name_indexed
0,145000.0,7.8,3058.0,3.0,1.0,1.0,536.0,11204.0,6.0,0.0,1.0
1,145000.0,13.9,3020.0,2.0,1.0,1.0,36.0,2185.0,101.0,1.0,2.0
2,160000.0,4.6,3122.0,1.0,1.0,0.0,322.0,11308.0,22.0,1.0,0.0
3,170000.0,5.1,3011.0,1.0,1.0,0.0,30.0,7570.0,32.0,1.0,2.0
4,170000.0,5.2,3056.0,1.0,1.0,0.0,1250.0,11918.0,4.0,1.0,1.0
5,200000.0,13.9,3020.0,1.0,1.0,1.0,1175.0,2185.0,101.0,1.0,2.0
6,230000.0,13.0,3046.0,2.0,1.0,1.0,1996.0,8870.0,11.0,1.0,1.0
7,240000.0,5.1,3011.0,1.0,1.0,1.0,1015.0,7570.0,32.0,1.0,2.0
8,240000.0,11.2,3073.0,2.0,1.0,1.0,82.0,21650.0,0.0,1.0,1.0
9,248500.0,9.9,3044.0,1.0,1.0,1.0,49.0,7485.0,9.0,1.0,1.0
10,250000.0,8.4,3072.0,1.0,1.0,1.0,631.0,14577.0,2.0,1.0,1.0
11,257500.0,8.5,3044.0,1.0,1.0,1.0,995.0,7485.0,9.0,1.0,1.0
12,260000.0,10.4,3163.0,1.0,1.0,1.0,1162.0,2403.0,210.0,1.0,0.0
13,260000.0,11.2,3073.0,1.0,1.0,1.0,141.0,21650.0,0.0,0.0,1.0
14,260000.0,12.6,3020.0,2.0,1.0,1.0,79.0,3755.0,26.0,1.0,2.0
15,263100.0,5.2,3055.0,1.0,1.0,1.0,41.0,7082.0,46.0,1.0,1.0
16,266000.0,8.2,3012.0,2.0,1.0,1.0,1059.0,5058.0,35.0,1.0,2.0
17,275000.0,4.6,3122.0,1.0,1.0,0.0,479.0,11308.0,22.0,1.0,0.0
18,275000.0,5.2,3055.0,1.0,1.0,1.0,1388.0,7082.0,46.0,1.0,1.0
19,275000.0,9.2,3012.0,2.0,1.0,1.0,1972.0,3873.0,38.0,1.0,2.0
20,280000.0,6.4,3012.0,1.0,1.0,1.0,45.0,5058.0,35.0,0.0,2.0
21,280000.0,6.4,3012.0,1.0,1.0,1.0,3826.0,3873.0,38.0,1.0,2.0
22,280000.0,7.5,3040.0,1.0,1.0,1.0,28.0,9264.0,5.0,1.0,2.0
23,280000.0,14.5,3047.0,2.0,1.0,1.0,197.0,851.0,127.0,1.0,1.0
24,280500.0,29.8,3338.0,2.0,1.0,1.0,180.0,4718.0,158.0,0.0,7.0
25,282000.0,6.4,3011.0,1.0,1.0,1.0,1783.0,7570.0,32.0,1.0,2.0
26,283000.0,31.7,3337.0,3.0,1.0,0.0,362.0,3600.0,192.0,0.0,7.0
